NAME, HP, ATK, DEF, SPE, SPA, SPD, EXP
BULBASAUR, 45, 49, 49, 45, 65, 65, 64
IVYSAUR, 60, 62, 63, 60, 80, 80, 142
VENUSAUR, 80, 82, 83, 80, 100, 100, 236
CHARMANDER, 39, 52, 43, 65, 60, 50, 62
CHARMELEON, 58, 64, 58, 80, 80, 65, 142
CHARIZARD, 78, 84, 78, 100, 109, 85, 240
SQUIRTLE, 44, 48, 65, 43, 43, 50, 63
WARTORTLE, 59, 63, 80, 58, 65, 80, 142
BLASTOISE, 79, 83, 100, 78, 85, 105, 239
CATERPIE, 45, 30, 35, 45, 20, 20, 39
METAPOD, 50, 20, 55, 30, 25, 25, 72
BUTTERFREE, 60, 45, 50, 70, 80, 80, 173
WEEDLE, 45, 35, 30, 50, 20, 20, 39
KAKUNA, 45, 25, 50, 35, 25, 25, 72
BEEDRILL, 65, 80, 40, 75, 45, 80, 173
PIDGEY, 40, 45, 40, 56, 35, 35, 50
PIDGEOTTO, 63, 60, 55, 71, 50, 50, 122
PIDGEOT, 83, 80, 75, 91, 70, 70, 211
RATTATA, 30, 56, 35, 72, 25, 35, 51
RATICATE, 55, 81, 60, 97, 50, 70, 145
SPEAROW, 40, 60, 30, 70, 31, 31, 52
FEAROW, 65, 90, 65, 100, 61, 61, 155
EKANS, 35, 60, 44, 55, 40, 54, 58
ARBOK, 60, 85, 69, 80, 65, 79, 153
PIKACHU, 35, 55, 30, 90, 50, 40, 105
RAICHU, 60, 90, 55, 100, 90, 80, 214
SANDSHREW, 50, 75, 85, 40, 20, 30, 60
SANDSLASH, 75, 100, 110, 65, 45, 55, 158
NIDORANF, 55, 47, 52, 41, 40, 40, 55
NIDORINA, 70, 62, 67, 56, 55, 55, 128
NIDOQUEEN, 90, 82, 87, 76, 75, 85, 223
NIDORANM, 46, 57, 40, 50, 40, 40, 55
NIDORINO, 61, 72, 57, 65, 55, 55, 128
NIDOKING, 81, 92, 77, 85, 85, 75, 223
CLEFAIRY, 70, 45, 48, 35, 60, 65, 113
CLEFABLE, 95, 70, 73, 60, 85, 90, 213
VULPIX, 38, 41, 40, 65, 50, 65, 60
NINETALES, 73, 76, 75, 100, 81, 100, 117
JIGGLYPUFF, 115, 45, 20, 20, 45, 25, 95
WIGGLYTUFF, 140, 70, 45, 45, 75, 50, 191
ZUBAT, 40, 45, 35, 55, 30, 40, 49
GOLBAT, 75, 80, 70, 90, 65, 75, 159
ODDISH, 45, 50, 55, 30, 75, 65, 64
GLOOM, 60, 65, 70, 40, 85, 75, 138
VILEPLUME, 75, 80, 85, 50, 100, 90, 216
PARAS, 35, 70, 55, 25, 45, 55, 57
PARASECT, 60, 95, 80, 30, 60, 80, 142
