Chikorita, Grass, null
Bayleef, Grass, null
Meganium, Grass, null
Cyndaquil, Fire, null
Quilava, Fire, null
Typhlosion, Fire, null
Totodile, Water, null
Croconaw, Water, null
Feraligatr, Water, null
Pidgey, Normal, Flying
Pidgeotto, Normal, Flying
Pidgeot, Normal, Flying
Spearow, Normal, Flying
Fearow, Normal, Flying
Hoothoot, Normal, Flying
Noctowl, Normal, Flying
Rattata, Normal, null
Raticate, Normal, null
Sentret, Normal, null
Furret, Normal, null
Pichu, Electric, null
Pikachu, Electric, null
Raichu, Electric, null
Caterpie, Bug, null
Metapod, Bug, null
Butterfree, Bug, Flying
Weedle, Bug, Poison
Kakuna, Bug, Poison
Beedrill, Bug, Poison
Ledyba, Bug, Flying
Ledian, Bug, Flying
Spinarak, Bug, Poison
Ariados, Bug, Poison
Geodude, Rock, Ground
Graveler, Rock, Ground
Golem, Rock, Ground
Zubat, Poison, Flying
Golbat, Poison, Flying
Crobat, Poison, Flying
Cleffa, Normal, null
Clefairy, Normal, null
Clefable, Normal, null
Igglybuff, Normal, null
Jigglypuff, Normal, null
Wigglytuff, Normal, null
Togepi, Normal, null
Togetic, Normal, Flying
Sandshrew, Ground, null
Sandslash, Ground, null
Ekans, Poison, null
Arbok, Poison, null
Dunsparce, Normal, null
Mareep, Electric, null
Flaaffy, Electric, null
Ampharos, Electric, null
Wooper, Water, Ground
Quagsire, Water, Ground
Gastly, Ghost, Poison
Haunter, Ghost, Poison
Gengar, Ghost, Poison
Unown, Psychic, null
Onix, Rock, Ground
Steelix, Steel, Ground
Bellsprout, Grass, Poison
Weepinbell, Grass, Poison
Victreebel, Grass, Poison
Hoppip, Grass, Flying
Skiploom, Grass, Flying
Jumpluff, Grass, Flying
Paras, Bug, Grass
Parasect, Bug, Grass
Poliwag, Water, null
Poliwhirl, Water, null
Poliwrath, Water, Fighting
Politoed, Water, null
Magikarp, Water, null
Gyarados, Water, Flying
Goldeen, Water, null
Seaking, Water, null
Slowpoke, Water, Psychic
Slowbro, Water, Psychic
Slowking, Water, Psychic
Oddish, Grass, Poison
Gloom, Grass, Poison
Vileplume, Grass, Poison
Bellossom, Grass, null
Drowzee, Psychic, null
Hypno, Psychic, null
Abra, Psychic, null
Kadabra, Psychic, null
Alakazam, Psychic, null
Ditto, Normal, null
Pineco, Bug, null
Forretress, Bug, Steel
Nidoran♀, Poison, null
Nidorina, Poison, null
Nidoqueen, Poison, Ground
Nidoran♂, Poison, null
Nidorino, Poison, null
Nidoking, Poison, Ground
Yanma, Bug, Flying
Sunkern, Grass, null
Sunflora, Grass, null
Exeggcute, Grass, Psychic
Exeggutor, Grass, Psychic
Sudowoodo, Rock, null
Wobbuffet, Psychic, null
Venonat, Bug, Poison
Venomoth, Bug, Poison
Scyther, Bug, Flying
Scizor, Bug, Steel
Pinsir, Bug, null
Heracross, Bug, Fighting
Koffing, Poison, null
Weezing, Poison, null
Grimer, Poison, null
Muk, Poison, null
Magnemite, Electric, Steel
Magneton, Electric, Steel
Voltorb, Electric, null
Electrode, Electric, null
Aipom, Normal, null
Snubbull, Normal, null
Granbull, Normal, null
Vulpix, Fire, null
Ninetales, Fire, null
Growlithe, Fire, null
Arcanine, Fire, null
Stantler, Normal, null
Marill, Water, null
Azumarill, Water, null
Diglett, Ground, null
Dugtrio, Ground, null
Mankey, Fighting, null
Primeape, Fighting, null
Meowth, Normal, null
Persian, Normal, null
Psyduck, Water, null
Golduck, Water, null
Machop, Fighting, null
Machoke, Fighting, null
Machamp, Fighting, null
Tyrogue, Fighting, null
Hitmonlee, Fighting, null
Hitmonchan, Fighting, null
Hitmontop, Fighting, null
Girafarig, Normal, Psychic
Tauros, Normal, null
Miltank, Normal, null
Magby, Fire, null
Magmar, Fire, null
Smoochum, Ice, Psychic
Jynx, Ice, Psychic
Elekid, Electric, null
Electabuzz, Electric, null
Mr. Mime, Psychic, null
Smeargle, Normal, null
Farfetch'd, Normal, Flying
Natu, Psychic, Flying
Xatu, Psychic, Flying
Qwilfish, Water, Poison
Tentacool, Water, Poison
Tentacruel, Water, Poison
Krabby, Water, null
Kingler, Water, null
Shuckle, Bug, Rock
Staryu, Water, null
Starmie, Water, Psychic
Shellder, Water, null
Cloyster, Water, Ice
Corsola, Water, Rock
Remoraid, Water, null
Octillery, Water, null
Chinchou, Water, Electric
Lanturn, Water, Electric
Seel, Water, null
Dewgong, Water, Ice
Lickitung, Normal, null
Tangela, Grass, null
Eevee, Normal, null
Vaporeon, Water, null
Jolteon, Electric, null
Flareon, Fire, null
Espeon, Psychic, null
Umbreon, Dark, null
Horsea, Water, null
Seadra, Water, null
Kingdra, Water, Dragon
Gligar, Ground, Flying
Delibird, Ice, Flying
Swinub, Ice, Ground
Piloswine, Ice, Ground
Teddiursa, Normal, null
Ursaring, Normal, null
Phanpy, Ground, null
Donphan, Ground, null
Mantine, Water, Flying
Skarmory, Steel, Flying
Doduo, Normal, Flying
Dodrio, Normal, Flying
Ponyta, Fire, null
Rapidash, Fire, null
Cubone, Ground, null
Marowak, Ground, null
Kangaskhan, Normal, null
Rhyhorn, Ground, Rock
Rhydon, Ground, Rock
Murkrow, Dark, Flying
Houndour, Dark, Fire
Houndoom, Dark, Fire
Slugma, Fire, null
Magcargo, Fire, Rock
Sneasel, Dark, Ice
Misdreavus, Ghost, null
Porygon, Normal, null
Porygon2, Normal, null
Chansey, Normal, null
Blissey, Normal, null
Lapras, Water, Ice
Omanyte, Rock, Water
Omastar, Rock, Water
Kabuto, Rock, Water
Kabutops, Rock, Water
Aerodactyl, Rock, Flying
Snorlax, Normal, null
Bulbasaur, Grass, Poison
Ivysaur, Grass, Poison
Venusaur, Grass, Poison
Charmander, Fire, null
Charmeleon, Fire, null
Charizard, Fire, Flying
Squirtle, Water, null
Wartortle, Water, null
Blastoise, Water, null
Articuno, Ice, Flying
Zapdos, Electric, Flying
Moltres, Fire, Flying
Raikou, Electric, null
Entei, Fire, null
Suicune, Water, null
Dratini, Dragon, null
Dragonair, Dragon, null
Dragonite, Dragon, Flying
Larvitar, Rock, Ground
Pupitar, Rock, Ground
Tyranitar, Rock, Dark
Lugia, Psychic, Flying
Ho-Oh, Fire, Flying
Mewtwo, Psychic, null
Mew, Psychic, null
Celebi, Psychic, Grass
